,STUDYPROGRAM,FACCODE,DEGREETHAI,MAJORNAME,TOTAL,N_01,N_02,N_03,N_04,N_05,N_06,N_07,N_08,N_10,N_11,N_12,N_13,N_19,N_20,N_23,N_25,N_27,N_31,N_58,N_60,N_68,N_72
115,S,33,เภสัชศาสตรบัณฑิต,เภสัชศาสตร์,440,440,,,,,,,,,,,,,,,,,,,,,
116,S,34,นิติศาสตรบัณฑิต,นิติศาสตร์,1243,1241,1,,,,,,,,,,,,,,1,,,,,,
117,S,35,ศิลปกรรมศาสตรบัณฑิต,ดุริยางคศิลป์,131,131,,,,,,,,,,,,,,,,,,,,,
118,S,35,ศิลปกรรมศาสตรบัณฑิต,นาฏยศิลป์,163,163,,,,,,,,,,,,,,,,,,,,,
119,S,35,ศิลปกรรมศาสตรบัณฑิต,ทัศนศิลป์,144,144,,,,,,,,,,,,,,,,,,,,,
120,S,35,ศิลปกรรมศาสตรบัณฑิต,นฤมิตศิลป์,211,211,,,,,,,,,,,,,,,,,,,,,
121,S,37,วิทยาศาสตรบัณฑิต,รังสีเทคนิค,28,28,,,,,,,,,,,,,,,,,,,,,
122,S,37,วิทยาศาสตรบัณฑิต (กายภาพบำบัด),กายภาพบำบัด,232,232,,,,,,,,,,,,,,,,,,,,,
123,S,37,วิทยาศาสตรบัณฑิต (เทคนิคการแพทย์),เทคนิคการแพทย์,326,326,,,,,,,,,,,,,,,,,,,,,
124,S,37,วิทยาศาสตรบัณฑิต,โภชนาการและการกำหนดอาหาร,129,129,,,,,,,,,,,,,,,,,,,,,
125,S,38,วิทยาศาสตรบัณฑิต,จิตวิทยา,325,325,,,,,,,,,,,,,,,,,,,,,
126,I,38,วิทยาศาสตรบัณฑิต,วิทยาศาสตร์จิตวิทยา,137,120,,1,,,,7,,,1,,1,,,,1,4,,,1,1,
127,S,39,วิทยาศาสตรบัณฑิต,วิทยาศาสตร์การกีฬาและการออกกำลังกาย,393,393,,,,,,,,,,,,,,,,,,,,,
128,S,39,วิทยาศาสตรบัณฑิต(วิทยาศาสตร์การกีฬา),วิทยาศาสตร์การกีฬา,13,13,,,,,,,,,,,,,,,,,,,,,
129,S,40,ศิลปศาสตรบัณฑิต,การบริหารจัดการทรัพยากรการเกษตร,174,171,,,,,,,,,,,,,,3,,,,,,,
